ptl_cond,ntl_cond,chla_cond,turb_cond,anc_cond,salinity_cond,ptl,ntl,chla,st,region,lon_dd,lat_dd,lakename
1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,79,1525,148.2,IA,North Central,-93.59040488,41.29211104,Lake Ahquabi
1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,66,801,30.24,IA,North Central,-93.59040488,41.29211104,Lake Ahquabi
1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,79,1525,148.2,IA,North Central,-93.59040488,41.29211104,Lake Ahquabi
1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,10,473,4.38,MI,North Central,-83.50588771,42.61823014,Bogie Lake
1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,10,485,3.33,MI,North Central,-83.50588771,42.61823014,Bogie Lake
1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,10,473,4.38,MI,North Central,-83.50588771,42.61823014,Bogie Lake
1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,10,485,3.33,MI,North Central,-83.50588771,42.61823014,Bogie Lake
2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,159,1026,4.9,OK,South,-96.87178731,35.99078823,Cushing Lake
2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,142,1052,21.28,OK,South,-96.87178731,35.99078823,Cushing Lake
2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,159,1026,4.9,OK,South,-96.87178731,35.99078823,Cushing Lake
2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,142,1052,21.28,OK,South,-96.87178731,35.99078823,Cushing Lake
2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBED,1:LEAST DISTURBED,28,384,16.03,NJ,Northeast,-74.56255123,39.97428032,Mirror Lake
1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBED,1:LEAST DISTURBED,20,264,8.8,NJ,Northeast,-74.56255123,39.97428032,Mirror Lake
2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBED,1:LEAST DISTURBED,28,384,16.03,NJ,Northeast,-74.56255123,39.97428032,Mirror Lake
1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBED,1:LEAST DISTURBED,20,264,8.8,NJ,Northeast,-74.56255123,39.97428032,Mirror Lake
2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,175,4147,8.75,ND,North Central,-100.5756807,47.83492738,Unnamed Lake
2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,175,4456,20.52,ND,North Central,-100.5756807,47.83492738,Unnamed Lake
2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,175,4147,8.75,ND,North Central,-100.5756807,47.83492738,Unnamed Lake
2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,175,4456,20.52,ND,North Central,-100.5756807,47.83492738,Unnamed Lake
2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,109,470,20,NM,West,-107.2747938,33.0071076,Caballo Reservoir
2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,98,423,13.65,NM,West,-107.2747938,33.0071076,Caballo Reservoir
2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,109,470,20,NM,West,-107.2747938,33.0071076,Caballo Reservoir
2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,98,423,13.65,NM,West,-107.2747938,33.0071076,Caballo Reservoir
1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,6,490,13,NE,North Central,-100.7797567,41.03025217,Lake Maloney
